CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2
12346,326,1,77183.6,3,4.106623311276753,5.433579403001396
12347,2,7,4310.0,0,0.7424105574712953,-0.6713004179769813
12348,75,4,1797.24,0,0.02480233631811995,-0.1749539970553377
12349,19,1,1757.55,0,-0.028036348853123047,-0.735123830771832
12350,310,1,334.4,1,-1.235465762681701,1.8349456040199597
12352,36,8,2506.04,0,0.5739141625100591,-0.4274545548628763
12353,204,1,89.0,1,-0.8493458718414497,0.8644419827491494
12354,232,1,1079.4,1,-0.8862659742399072,1.1623993379629531
12355,214,1,459.4,1,-0.8613585134575222,0.9716052242729923
12356,23,3,2811.43,0,0.2062703077266309,-0.617223889166775
12357,33,1,6207.67,0,0.23155901418228128,-0.40840053016069666
12358,2,2,1168.06,0,0.08292773710321634,-0.8983305061703297
12359,58,4,6372.58,0,0.4111690275245043,-0.1232040659708192
12360,52,3,2662.06,0,0.08541189666871073,-0.36143918095489896
12361,287,1,189.9,1,-1.1581006717892401,1.6202634847155126
12362,3,10,5226.23,0,1.066172771781769,-0.5695771878804763
12363,110,2,552.0,0,-0.3713689486024469,0.051560107714266355
12364,8,4,1313.1,0,0.2457264908491449,-0.8031729551597289
12365,291,2,641.38,1,-1.053863461640993,1.6939253785176072
12367,4,1,168.9,0,-0.08264721097036716,-0.9422967074787535
12370,51,4,3545.69,0,0.2390589629626877,-0.31361355705765115
12371,45,2,1887.96,0,-0.030091283242908027,-0.4767554197034492
12372,72,3,1298.04,0,-0.08659529188372915,-0.2417089065262927
12373,311,1,364.6,1,-1.237147921281973,1.8453545203812
12374,25,1,742.9300000000001,0,-0.12220286589983718,-0.726413663716248
12375,11,2,457.5,0,-0.0012776933353340954,-0.8488001299290531
12377,315,2,1628.12,1,-1.0758192608452013,1.9555116514230764
12378,130,1,4008.62,0,-0.29217222442590884,0.3707781746443603
12379,82,2,852.24,0,-0.24370884644981314,-0.1883924534116208
12380,22,4,2724.81,0,0.2917027791207989,-0.613003880672584
12381,5,5,1845.31,0,0.3822773627149702,-0.7892443767596059
12383,185,5,1850.56,1,-0.30232660533108163,0.8402882200543702
12384,29,2,585.27,0,-0.06079197715047653,-0.6801281415365378
12386,338,2,401.9,1,-1.2495544723468515,2.1085899684649325
12388,16,6,2780.66,0,0.49389579419684476,-0.6304745419883507
12390,80,1,549.84,0,-0.3450756195850361,-0.23725099944465441
12391,22,1,460.89,0,-0.13061580988528115,-0.7662442355392246
12393,72,4,1582.6000000000001,0,0.021128030514842543,-0.21175543362640392
12394,64,2,1272.48,0,-0.14566605951584116,-0.33243541495844775
12395,19,12,3018.63,0,1.0255122768557363,-0.4896370549359729
12397,36,2,2409.9,0,0.04085299090602433,-0.5347628803841226
12398,46,1,1635.6599999999999,0,-0.13935193346051658,-0.49620739436347794
12399,119,4,1108.65,0,-0.1910476759561883,0.19237145094235475
12401,303,1,84.3,1,-1.2264115025932945,1.7603439085676988
12402,323,1,225.6,1,-1.2925853554131082,1.9477272672308108
12403,50,1,427.7,0,-0.23950064013068068,-0.5142897371874819
12405,149,1,1710.39,1,-0.5260547662929195,0.43947091907553143
12406,22,2,3415.3,0,0.16481453255271863,-0.6163006031094712
12407,50,5,1708.1200000000001,0,0.20138878561702508,-0.38808589825681994
12408,33,5,2888.55,0,0.3490722401614041,-0.4889122514165596
12409,79,3,11072.67,0,0.5739840018140824,0.2609504978410687
12410,309,2,693.3299999999999,1,-1.1187083618800504,1.8591898144650207
12412,75,3,1226.88,0,-0.10301449932174565,-0.217752082047155
12413,67,3,758.1,0,-0.1055293940540575,-0.3112334863277198
12414,217,3,562.41,1,-0.6900985115590288,1.037718891172946
12415,24,21,124914.53,2,10.365976217696662,5.188428423692512
12417,3,9,3649.1,0,0.8675737586543686,-0.6576221942011629
12418,113,1,668.58,0,-0.46230585806162744,0.0667898773866498
12420,64,1,600.39,0,-0.28063514533778106,-0.37980551670363066
12421,16,4,807.04,0,0.1797040852030699,-0.7535034530894354
12422,96,3,803.5600000000001,0,-0.21269004729251897,-0.046692599760803685
12423,1,8,1859.31,0,0.6616342400329029,-0.7733280025834391
12424,163,2,1760.96,1,-0.4880580763406693,0.585631331684095
12425,78,1,777.2,0,-0.32147998898241065,-0.24513613246254082
12426,195,1,582.73,1,-0.780384935720988,0.8051666896433072
12427,22,3,825.8,0,0.07047360489435121,-0.7155150302408211
12428,26,9,7956.46,0,1.082883554156774,-0.2558500752710847
12429,9,4,3750.4,0,0.4132783970603443,-0.684582563058526
12430,43,1,256.4,0,-0.22490625112899942,-0.5853499510692599
12431,36,15,6487.45,3,1.46785091005731,-0.1283672728674659
12432,43,5,5059.32,0,0.46363677991072105,-0.30083559396568627
12433,1,7,13375.87,0,1.3836028734849206,-0.2729077573227285
12434,85,2,806.14,0,-0.2583661804034811,-0.16330936588481432
12435,80,2,7829.89,0,0.2544740532136026,0.10709839872802976
12436,100,1,509.01,0,-0.4240543414273721,-0.05805304736062875
